lat,lon,Region,historic_forest_change,proj_forest_change
0.0,-68.0,Amazon,-3.304023721284466e-11,-0.6650009155928168
0.0,-66.0,Amazon,-1.5205614545266144e-12,
2.0,-68.0,Amazon,-0.11349999998377314,-3.6050335750811726
2.0,-66.0,Amazon,-0.012500000023493385,-22.870000339473304
2.0,-72.0,Amazon,-1.4355750012867077,
2.0,-70.0,Amazon,-0.007500000002750085,-12.734990055780251
2.0,-74.0,Amazon,-22.44754999235476,-0.22999724349340625
2.0,-58.0,Amazon,-0.02999999998328917,-0.86999883195699
2.0,-54.0,Amazon,-0.1076749999550799,
4.0,-52.0,Amazon,-0.17490000009048856,-14.079796863670815
4.0,-54.0,Amazon,-0.09200000023825794,-0.6299932393191939
4.0,-58.0,Amazon,-0.037000000005107836,-43.47476693612976
4.0,-56.0,Amazon,-0.004999999997806981,-0.9249994648059702
4.0,-66.0,Amazon,-1.1283418643870391e-11,-0.555008124294558
4.0,-68.0,Amazon,-8.66225000070564,-12.120177549991247
4.0,-74.0,Amazon,-0.2275999999814502,-0.2750020574000736
4.0,-70.0,Amazon,-0.2815000002730699,-0.08499855301440241
6.0,-66.0,Amazon,-0.06790000005725005,-0.20999454806908519
2.0,-62.0,Amazon,-0.002500000022124027,
2.0,-64.0,Amazon,-0.007500000007084395,-2.895027091788058
4.0,-62.0,Amazon,-7.048583938740194e-12,-5.876781399182979e-12
4.0,-64.0,Amazon,-0.044774999978926644,-7.255110615258757
6.0,-64.0,Amazon,-0.20700000013130193,-0.5400112565138301
6.0,-62.0,Amazon,-0.007300000032529397,-0.05499964535434822
6.0,-60.0,Amazon,-0.03482499999159927,-0.524992927355843
8.0,-60.0,Amazon,-1.0211499999494578,-2.615043201698601
6.0,-58.0,Amazon,-2.5841249987767796,-23.744812818753097
-4.0,12.0,Congo,-0.22965000027282656,-98.28501002708403
-6.0,22.0,Congo,-26.21950000294239,-94.24997163758336
-4.0,22.0,Congo,-21.1498999796288,-93.70502413855417
-4.0,24.0,Congo,-39.04837499129123,-90.93998079701602
-2.0,22.0,Congo,-0.007500000004455387,
-2.0,24.0,Congo,-0.06494999996449735,
-4.0,20.0,Congo,-0.019975000059162085,-99.99999999095397
-2.0,20.0,Congo,-0.04250000438905488,
-2.0,14.0,Congo,-0.18887500000786872,-3.330033381770844
-2.0,12.0,Congo,-5.184249995188253,-78.44521008335056
-2.0,18.0,Congo,-2.831749999624307,
-2.0,26.0,Congo,-0.014974999991423488,-98.65000192557365
-2.0,28.0,Congo,-1.5432988220709376e-11,-86.93000750805074
0.0,26.0,Congo,-0.05992500004873591,
0.0,22.0,Congo,-3.3731249964769034,-24.975000355863113
0.0,24.0,Congo,-23.561625011593236,
0.0,28.0,Congo,-0.019925000018616856,-4.469999328976735
2.0,28.0,Congo,-2.106048668792937e-10,
2.0,24.0,Congo,-0.0050000000218091145,
2.0,26.0,Congo,-1.081477307707246e-08,-21.83021809773774
0.0,14.0,Congo,-1.630999999096403,-96.25000000211918
0.0,18.0,Congo,-0.13324999995585074,-70.01500128360482
0.0,16.0,Congo,-1.0946500002168733,-98.75000000055654
0.0,20.0,Congo,-1.9165749983380636,-76.6649999653117
2.0,16.0,Congo,-0.07227499999544307,-40.99000840185081
2.0,20.0,Congo,-4.365100000078343,-98.70000156245939
2.0,22.0,Congo,-11.145599992140134,
2.0,12.0,Congo,-0.2568500028473579,-95.11995807032493
2.0,18.0,Congo,-1.2663500022861314,-98.64501349713696
2.0,14.0,Congo,-0.11017499997718971,-99.47500013164118
2.0,30.0,Congo,-17.30622499180857,-54.670043209062854
4.0,16.0,Congo,-0.13830000045962265,-4.246721755813607e-09
4.0,14.0,Congo,-0.9231750012248199,
4.0,18.0,Congo,-3.9582749969587923,-76.10514609960867
4.0,22.0,Congo,-0.21479999991395005,-46.624848956594555
4.0,24.0,Congo,-11.157624993971694,
